IP Address,Hostname,MAC Address,Vendor,Fingerbank Device,Fingerbank OS,Fingerbank Confidence,Category,VLAN,Connected To,Port / AP,Risk Level,Botnet Risk,ML Risk
172.30.100.1,,A0:93:51:E1:C4:D0,"Cisco Systems, Inc","Hardware Manufacturer/Cisco Systems, Inc",,29,IoT Device,,,,Medium,Low (0.00),Low (0.00)
172.30.100.2,,68:71:61:63:13:C0,"Cisco Systems, Inc","Hardware Manufacturer/Cisco Systems, Inc",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.3,,58:8B:1C:D3:F8:40,"Cisco Systems, Inc","Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP",BusyBox/OpenWrt,34,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.4,,68:71:61:63:59:40,"Cisco Systems, Inc","Hardware Manufacturer/Cisco Systems, Inc",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.5,,E8:65:D4:F6:C9:B9,"Tenda Technology Co.,Ltd.Dongguan branch","Router, Access Point or Femtocell",,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.6,,BC:E7:12:B6:7A:47,"Cisco Systems, Inc","Hardware Manufacturer/Cisco Systems, Inc",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.7,IPSANNEX_022,8C:32:23:03:93:85,"JWIPC Technology Co.,Ltd.","Hardware Manufacturer/JWIPC Technology Co.,Ltd.",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),High (1.00)
172.30.100.9,DESKTOP-G4GS9LH,8C:32:23:03:88:DE,"JWIPC Technology Co.,Ltd.","Hardware Manufacturer/JWIPC Technology Co.,Ltd.",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.10,,8C:32:23:03:93:83,"JWIPC Technology Co.,Ltd.","Hardware Manufacturer/JWIPC Technology Co.,Ltd.",,29,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.12,,8C:32:23:03:95:0B,"JWIPC Technology Co.,Ltd.","Hardware Manufacturer/JWIPC Technology Co.,Ltd.",,29,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.13,SOSMESS_022,8C:32:23:03:8C:B3,"JWIPC Technology Co.,Ltd.","Hardware Manufacturer/JWIPC Technology Co.,Ltd.",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.14,DESKTOP-P7G99MB,00:D0:0D:25:DA:44,MICROMERITICS INSTRUMENT,Hardware Manufacturer/MICROMERITICS INSTRUMENT,,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),High (1.00)
172.30.100.16,New_Admin_12,00:E0:4C:5A:85:A8,REALTEK SEMICONDUCTOR CORP.,Generic PC,,15,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.17,DESKTOP-3SFQUQB,7C:10:C9:22:20:FF,ASUSTek COMPUTER INC.,Hardware Manufacturer/ASUSTek COMPUTER INC.,,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.18,,8C:32:23:03:92:B9,"JWIPC Technology Co.,Ltd.","Hardware Manufacturer/JWIPC Technology Co.,Ltd.",,29,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.19,DESKTOP,34:1A:4C:EC:5C:82,"SHENZHEN WEIBU ELECTRONICS CO.,LTD.","Hardware Manufacturer/SHENZHEN WEIBU ELECTRONICS CO.,LTD.",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.78,MTCLAB-048,34:17:EB:CC:0C:CA,Dell Inc.,Hardware Manufacturer/Dell Inc.,,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.86,,6C:29:D2:F6:99:40,"Cisco Systems, Inc","Hardware Manufacturer/Cisco Systems, Inc",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.121,,00:15:5D:38:01:02,Microsoft Corporation,Hardware Manufacturer/Microsoft,,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.125,,04:7C:16:06:1E:26,"Micro-Star INTL CO., LTD.","Hardware Manufacturer/Micro-Star INTL CO., LTD.",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.136,,C0:18:50:7D:90:B4,Quanta Computer Inc.,Hardware Manufacturer/QUANTA COMPUTER INC.,,29,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.139,,8C:52:19:DE:5B:B7,SHARP Corporation,"Audio, Imaging or Video Equipment",,15,Printer,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.158,CyberX,7C:10:C9:22:21:38,ASUSTek COMPUTER INC.,Hardware Manufacturer/ASUSTek COMPUTER INC.,,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.189,,B8:85:84:A6:16:92,Dell Inc.,Hardware Manufacturer/Dell Inc.,,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.197,,68:71:61:63:3C:40,"Cisco Systems, Inc","Hardware Manufacturer/Cisco Systems, Inc",,29,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.230,,B0:8D:57:AA:DF:C0,"Cisco Systems, Inc","Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP",BusyBox/OpenWrt,34,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
172.30.100.247,,E8:65:D4:F7:F2:39,"Tenda Technology Co.,Ltd.Dongguan branch","Router, Access Point or Femtocell",,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.248,,E8:65:D4:F6:C9:69,"Tenda Technology Co.,Ltd.Dongguan branch","Router, Access Point or Femtocell",,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.249,,E8:65:D4:F6:F1:99,"Tenda Technology Co.,Ltd.Dongguan branch","Router, Access Point or Femtocell",,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.251,,E8:65:D4:F6:C9:A9,"Tenda Technology Co.,Ltd.Dongguan branch","Router, Access Point or Femtocell",,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
172.30.100.253,,E8:65:D4:F6:C9:79,"Tenda Technology Co.,Ltd.Dongguan branch","Router, Access Point or Femtocell",,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
192.168.116.254,,00:50:56:F6:57:21,"VMware, Inc.",Datacenter Appliance/VMware vCenter Server Appliance,,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
192.168.137.87,MONSTER.mshome.net,70:CF:49:71:6F:2E,Intel Corporate,"Phone, Tablet or Wearable",,15,Workstation / PC,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Medium,Low (0.00),Low (0.00)
192.168.197.254,,00:50:56:FE:98:E1,"VMware, Inc.",Datacenter Appliance/VMware vCenter Server Appliance,,15,IoT Device,VLAN 100,Gateway Router (172.30.100.1),Ethernet / LAN,Low,Low (0.00),Low (0.00)
